movieid,title,genres,string_agg,feature
37963,鬼亂5,"['恐怖,驚悚']",['Pongsatorn Jongwilak'],"鬼亂 恐怖,驚悚 泰國 電影 鬼片 票房 影壇 當地 "
37992,幻影女郎,"['犯罪,懸疑,劇情']",['Ella Raines'],"幻影女郎 犯罪,懸疑,劇情 愛人 偵探 一個 女子 凌弱 出現 "
38010,一首Punk歌救地球,"['喜劇,劇情,音樂']",['Nao Omori'],"一首歌救地球 喜劇,劇情,音樂 Fish Story 龐克 37 老歌 浩劫 "
38011,六月的日記,"['驚悚,懸疑,劇情,犯罪']",['Oh Jung-se'],"六月的日記 驚悚,懸疑,劇情,犯罪 秋子 日記 調查 命案 狂風 天橋 "
38015,老千,"['犯罪,喜劇']",['Ju Jin-mo'],"老千 犯罪,喜劇 老千 高尼 輸掉 賭場 贏家 多麼 "
38050,命運規劃局,"['驚悚,科幻,愛情']",['Laurie Dawn'],"命運規劃局 驚悚,科幻,愛情 命運 大衛 莉絲 他們 必須 規劃 "
38055,麥克邁：超能壞蛋,"['家庭,科幻,動畫,喜劇,動作']",['Ella Olivia Stiller'],"麥克邁超能壞蛋 家庭,科幻,動畫,喜劇,動作 超級 Megamind 一個 配音 壞蛋 英雄 "
38073,真愛零距離,"['愛情,喜劇,劇情']",['Sarah Burns'],"真愛零距離 愛情,喜劇,劇情 他們 艾琳 瑞特 兩人 這段 戀愛 "
38099,少林門,['動作'],['Wilson Tong'],少林門 動作 石少鋒 少林 義士 為了 濫殺 無辜 
38142,秒速5公分,"['劇情,動畫,愛情']",['Akira Nakagawa'],"秒速公分 劇情,動畫,愛情 兩人 搬到 原本 時間 1990 遠野貴樹 "
38143,秋菊打官司,"['喜劇,劇情']","['Lei Kesheng', 'Gong Li', 'Liu Peiqi']","秋菊打官司 喜劇,劇情 村長 秋菊 告到 法院 演出 本片 "
38155,新蜀山劍俠,"['動作,懸疑,喜劇,奇幻,劇情']",['Brigitte Lin'],"新蜀山劍俠 動作,懸疑,喜劇,奇幻,劇情 丁引 明奇 紫青 雙劍 荻明奇 一真 "
38164,卡奧斯,"['奇幻,愛情,懸疑,喜劇,劇情']",['Carlo Cartier'],"卡奧斯 奇幻,愛情,懸疑,喜劇,劇情 一個 母親 講述 兒子 之時 壇子 "
38167,享受吧 ！ 一個人的旅行,"['劇情,愛情']",['Mary Testa'],"享受吧一個人的旅行 劇情,愛情 心靈 伊莉莎白 本片 改編 吉兒 暢銷 "
38199,戰略特勤組,"['驚悚,劇情']",['Martin Donovan'],"戰略特勤組 驚悚,劇情 美國 FBI 探員 布洛 恐怖份子 境內 "
38264,火龍,"['動作,驚悚,犯罪']",['Richie Jen'],"火龍 動作,驚悚,犯罪 文方 紀少群 妓女 因為 兇案 協助 "
38305,扶桑花女孩,"['劇情,家庭,喜劇']",['Ami Ikenaga'],"扶桑花女孩 劇情,家庭,喜劇 女兒 早苗 小鎮 逐漸 老師 練習 "
38317,全民情獸,"['愛情,家庭,喜劇']",['Richie Minervini'],"全民情獸 愛情,家庭,喜劇 動物 Griffin 動物園 管理員 幫助 善良 "
38319,王子殿下,"['喜劇,奇幻']",['Natalie Portman'],"王子殿下 喜劇,奇幻 歐斯 沙迪 法比 他們 國家 艱難 "
38321,獵魔教士,"['恐怖,驚悚,動作']",['Henry Kingi Jr.'],"獵魔教士 恐怖,驚悚,動作 教會 一名 震驚 影史 漫畫 小說 "
38322,絕地奶霸：唬父無犬子,"['喜劇,動作,犯罪']",['Michelle Ang'],"絕地奶霸唬父無犬子 喜劇,動作,犯罪 川特 並且 臥底 保護 他們 透納 "
38356,變形金剛3,"['科幻,動作,冒險']",['Tom Kenny'],"變形金剛 科幻,動作,冒險 月球 卡莉 阿波羅 11 登陸 機密 "
38357,麻辣女強人,"['喜劇,愛情,劇情']",['Steve Park'],"麻辣女強人 喜劇,愛情,劇情 節目 收視率 電視台 哈里遜福特 瑞秋麥 新聞 "
38358,最後大法師,"['驚悚,恐怖']",['Patrick Fabian'],"最後大法師 驚悚,恐怖 驅魔 儀式 柯登 馬可斯 父親 攝製 "
38363,不公平的戰爭,"['驚悚,劇情']",['Tim Griffin'],"不公平的戰爭 驚悚,劇情 萊姆 布希 美國 調查 認為 情報 "
38365,亞當等大人,['喜劇'],['Madison Riley'],亞當等大人 喜劇 亞當 2010 美國 電影 獲得 德勒 
38368,波米叔叔的前世今生,"['喜劇,奇幻,劇情']","['Thanapat Saisaymar', 'Sakda Kaewbuadee', 'Jenjira Pongpas']","波米叔叔的前世今生 喜劇,奇幻,劇情 波米 叔叔 獲得 導演 失蹤 兒子 "
38407,上海,"['劇情,驚悚,犯罪,懸疑']",['John Cusack'],"上海 劇情,驚悚,犯罪,懸疑 保羅 發現 康納 背後 安娜 美國 "
38408,命中注定多個你,"['喜劇,愛情,劇情']",['Katherine Heigl'],"命中注定多個你 喜劇,愛情,劇情 艾瑞克 荷莉 之後 兩人 他們 蘇菲 "
38448,情陷美人魚,"['愛情,劇情']",['Tony Curran'],"情陷美人魚 愛情,劇情 Syracuse 出現 童話 魔法 女子 柯林法洛 "
38505,一，二，三，太陽,"['喜劇,劇情']",['Myriam Boyer'],"一二三太陽 喜劇,劇情 維克 莉娜 父親 他們 一個 馬賽 "
38540,搏命一擊,"['戰爭,驚悚,動作,劇情']","[""James D'Arcy""]","搏命一擊 戰爭,驚悚,動作,劇情 突擊隊 1942 英國 情報 人員 伊安 "
38541,崩裂：毀滅殺陣,"['科幻,恐怖']",['Lauren German'],"崩裂毀滅殺陣 科幻,恐怖 武裝 人員 地下室 邁克爾 Michael 姍娜 "
38551,蛇信與舌環,"['犯罪,愛情,驚悚']",['Sonim'],"蛇信與舌環 犯罪,愛情,驚悚 阿瑪 路易 紋身 阿柴 遊蕩 東京 "
38575,功夫夢,"['冒險,動作,家庭,劇情']",['Luke Carberry'],"功夫夢 冒險,動作,家庭,劇情 德瑞 功夫 12 杰登 因為 母親 "
38577,老人與海,"['劇情,動畫,冒險']",['Gordon Pinsent'],"老人與海 劇情,動畫,冒險 亞歷山大 彼德 擔任 釣到 大魚 短片 "
38633,咕咕貓,"['劇情,喜劇']",['Juri Ueno'],"咕咕貓 劇情,喜劇 麻子 CaVa 電影 貓咪 生活 助理 "
38684,簡愛,"['劇情,愛情']",['Jayne Wisener'],"簡愛 劇情,愛情 簡愛 莊園 羅徹斯特 他們 秘密 公爵 "
38700,絕地戰警 FOR LIFE,"['犯罪,動作,驚悚']",['Joseph Velez'],"絕地戰警 犯罪,動作,驚悚 他們 危機 現場 中年 火拼 馬奎斯 "
38745,格列佛遊記,"['奇幻,冒險,喜劇,家庭']",['Okezie Morro'],"格列佛遊記 奇幻,冒險,喜劇,家庭 格列佛 小小 喜劇 傑克布萊克 鋼鐵人 惡搞 "
38757,魔髮奇緣,"['家庭,動畫']",['Donna Murphy'],"魔髮奇緣 家庭,動畫 樂佩 本片 動畫 為了 3D 黃金 "
38780,怒火狂殺,"['動作,犯罪,懸疑,劇情,驚悚']",['Brendan Fletcher'],"怒火狂殺 動作,犯罪,懸疑,劇情,驚悚 比爾 敘述 偶爾 會到 修車廠 對於 "
38810,非普通教慾,['劇情'],['Steve Krikris'],非普通教慾 劇情 坎城 他們 父親 住家 扭曲 影片 
38843,蕾蒙娜和姐姐,"['喜劇,家庭']",['Bridget Moynahan'],"蕾蒙娜和姐姐 喜劇,家庭 小學生 蒙娜 天馬行空 冒險 麻煩 全心 "
38954,城市獵人愛與宿命的連發槍,"['喜劇,劇情,動畫,犯罪,動作']",['Jonas Allen'],"城市獵人愛與宿命的連發槍 喜劇,劇情,動畫,犯罪,動作 父親 來自 耶拉 鋼琴師 親善 義演 "
38955,超級計劃,"['冒險,犯罪,動作']",['Yu Rongguang'],"超級計劃 冒險,犯罪,動作 阿峰 阿華 悍匪 闖蕩 表揚 集團 "
38961,塔瑪拉小姐,"['愛情,喜劇']",['Joel Fry'],"塔瑪拉小姐 愛情,喜劇 Tamara 心碎 Drewe 一個 21 世紀 "
38963,率性而活,"['動作,喜劇,犯罪']",['Uhm Soo-jung'],"率性而活 動作,喜劇,犯罪 銀行 鄭度 李承宇 現實 搶劫 系列 "
38985,千驚萬險,"['驚悚,冒險']",['Jean-Luc Bideau'],"千驚萬險 驚悚,冒險 叢林 卡車 翻拍 硝化甘油 克魯 恐懼 "
39011,歡迎來到隔離病房,['劇情'],['Shinobu Otake'],歡迎來到隔離病房 劇情 明日香 這裡 記憶 鐵雄 美紀 她們 
39057,神奇寶貝劇場版：阿爾宙斯 超克的時空,"['奇幻,家庭,冒險,動畫']",['Ikue Otani'],"神奇寶貝劇場版阿爾宙斯超克的時空 奇幻,家庭,冒險,動畫 阿爾 宙斯 摩斯 之後 誓言 背叛 "
39061,義的革命日記,"['歷史,劇情']",['Donny Alamsyah'],"義的革命日記 歷史,劇情 蘇哈托 卡諾 動盪 政權 激發 民運 "
39100,七龍珠Z：世上最強之人,"['動作,科幻,動畫']",['Masako Nozawa'],"七龍珠世上最強之人 動作,科幻,動畫 博士 維絡 悟空 高進 龍珠 復活 "
39101,七龍珠Z：地球超決戰,"['科幻,動作,動畫']",['Hirotaka Suzuoki'],"七龍珠地球超決戰 科幻,動作,動畫 一個 敵人 達列斯 神精樹 克林 星球 "
39102,七龍珠Z：超級賽亞人孫悟空,"['科幻,動作,動畫']",['Naoki Tatsuta'],"七龍珠超級賽亞人孫悟空 科幻,動作,動畫 史拉格 七龍珠 地球 悟空 得知 一個 "
39103,七龍珠Z：激鬥！！100億能量戰士們,"['科幻,動畫,動作']",['Masako Nozawa'],"七龍珠激鬥億能量戰士們 科幻,動畫,動作 剋星 星球 金屬 憑藉 龍珠 戰士 "
39104,七龍珠Z：極限之戰！！三大超級賽亞人,"['科幻,動作,動畫']",['Naoko Watanabe'],"七龍珠極限之戰三大超級賽亞人 科幻,動作,動畫 悟空 兩個 琪琪 他們 邪惡 14 "
39105,七龍珠Z：銀河面臨危機,"['動畫,動作,科幻']",['Tomoko Maruo'],"七龍珠銀河面臨危機 動畫,動作,科幻 撒旦 過後 晉級 出現 多多 全人 "
39106,七龍珠Z：超戰士擊破！！,"['動畫,科幻,動作']",['Naoki Tatsuta'],"七龍珠超戰士擊破 動畫,科幻,動作 撒旦 上門 18 挑戰 因城 悟天 "
39107,七龍珠Z：復活融合！！悟空與達爾,"['動畫,動作,奇幻,科幻']",['Yuko Minaguchi'],"七龍珠復活融合悟空與達爾 動畫,動作,奇幻,科幻 冥界 閻王 銀河 孫悟空 排骨飯 正在 "
39108,七龍珠Z：龍拳爆發！！悟空捨我其誰,"['動畫,科幻,動作']",['Masako Nozawa'],"七龍珠龍拳爆發悟空捨我其誰 動畫,科幻,動作 老頭 塔皮 他們 一千五百年 比迪麗 上課 "
39123,20世紀少年最終章：把旗幟搶回來吧！,"['冒險,懸疑,科幻']",['Hitomi Kuroki'],"世紀少年最終章把旗幟搶回來吧 冒險,懸疑,科幻 朋友 時間 西元 2017 這時 統領 "
39144,七龍珠：神龍傳說,"['動作,動畫,冒險,喜劇,奇幻,科幻']",['Gorō Naya'],"七龍珠神龍傳說 動作,動畫,冒險,喜劇,奇幻,科幻 龍珠 一個 神龍 尋找 當地 國王 "
39145,七龍珠：魔神城與睡公主,"['動畫,動作']",['Toru Furuya'],"七龍珠魔神城與睡公主 動畫,動作 武天 老師 他們 惡魔 悟空 來到 "
39148,七龍珠：邁向最強之路,"['奇幻,動畫,冒險']",['Hiromi Tsuru'],"七龍珠邁向最強之路 奇幻,動畫,冒險 龍珠 布瑪 四處 尋找 緞帶 悟空 "
39202,名偵探柯南：迷宮的十字路,"['懸疑,動畫']",['Kappei Yamaguchi'],"名偵探柯南迷宮的十字路 懸疑,動畫 調查 事件 佛像 京都 服部 盜竊 "
39203,名偵探柯南：銀翼的奇術師,"['懸疑,動畫']",['Kazuhiko Inoue'],"名偵探柯南銀翼的奇術師 懸疑,動畫 基德 怪盜 樹里 柯南 偵探 委託 "
39204,名偵探柯南：水平線上的陰謀,"['動畫,懸疑']",['Kôji Nakata'],"名偵探柯南水平線上的陰謀 動畫,懸疑 柯南 搜查 園子 太郎 行人 犯人 "
39205,名偵探柯南：偵探們的鎮魂歌,"['懸疑,動畫']",['Yukiko Iwai'],"名偵探柯南偵探們的鎮魂歌 懸疑,動畫 柯南 基德 敵人 時間 謎題 偵探 "
39207,名偵探柯南：戰慄的樂譜,"['動作,動畫,懸疑,犯罪']","['Akira Kamiya', 'Minami Takayama', 'Wakana Yamazaki']","名偵探柯南戰慄的樂譜 動作,動畫,懸疑,犯罪 柯南 音樂會 小蘭 發生 音樂廳 這場 "
39210,在某處,['劇情'],['Simona Ventura'],在某處 劇情 影展 2010 金獅獎 開始 威尼斯 人生 
39228,機動戰士鋼彈劇場版,"['科幻,動畫,劇情,冒險,動作,戰爭']",['Toshio Furukawa'],"機動戰士鋼彈劇場版 科幻,動畫,劇情,冒險,動作,戰爭 阿姆羅 MS SIDE 聯邦 吉翁 鋼彈 "
39229,機動戰士鋼彈劇場版 II 哀戰士篇,"['科幻,動畫,動作']",['Yumi Nakatani'],"機動戰士鋼彈劇場版哀戰士篇 科幻,動畫,動作 戰鬥 阿姆羅 交錯 潛在 覺醒 ... "
39230,機動戰士鋼彈劇場版 III 宇宙相逢篇,"['劇情,科幻,戰爭,動畫,冒險,動作']",['Hirotaka Suzuoki'],"機動戰士鋼彈劇場版宇宙相逢篇 劇情,科幻,戰爭,動畫,冒險,動作 阿姆羅 ... 悲劇 夏亞 最後 兩人 "
39254,鋼鐵擂台,"['動作,劇情,科幻']",['Kevin Durand'],"鋼鐵擂台 動作,劇情,科幻 機器人 拳擊手 訓練 查理 拳擊場 兒子 "
39266,意志的勝利,"['紀錄,歷史']",['Max Amann'],"意志的勝利 紀錄,歷史 蘭妮 影像 造就 意志 1934 第六屆 "
39278,謎屍,"['愛情,奇幻,恐怖,驚悚']",['Tony Leung Ka-fai'],"謎屍 愛情,奇幻,恐怖,驚悚 遺跡 海底 西端 古城 那國島 位於 "
39284,喜悅,['劇情'],['Georg Skarstedt'],喜悅 劇情 柏格曼 Stig 婚姻 喜悅 本片 透過 
39319,時空幻境 宵星傳奇〜The First Strike〜,"['冒險,動作,奇幻,動畫']",['Eiji Takemoto'],"時空幻境宵星傳奇 冒險,動作,奇幻,動畫 敘述 發生 遊戲 弗連 蛻變 模樣 "
39323,七龍珠Z特別篇：一個人的最終決戰 挑戰弗利薩的Z戰士 孫悟空之父,"['科幻,劇情,奇幻,動作,動畫']",['Yukitoshi Hori'],"七龍珠特別篇一個人的最終決戰挑戰弗利薩的戰士孫悟空之父 科幻,劇情,奇幻,動作,動畫 弗里薩 賽亞人 星球 夥伴 成為 達克 "
39340,修道院的故事,['劇情'],['Howard Ross'],修道院的故事 劇情 修女 她們 院長 修道院 縱慾 ...... 
39341,惡狼遊戲,['恐怖'],['David Naughton'],惡狼遊戲 恐怖 萊克 繼父 野獸 同學 他們 當德 
39356,毛利男孩,"['喜劇,劇情']",['Cohen Holloway'],"毛利男孩 喜劇,劇情 男孩 英雄 狂愛 邁克爾 傑克遜 成癡 "
39436,驚悚無眠,"['犯罪,驚悚,懸疑,恐怖']",['Aldo Massasso'],"驚悚無眠 犯罪,驚悚,懸疑,恐怖 經典 阿基 妓女 怪客 一部 水準 "
39448,皇家師姐,"['動作,犯罪']",['Fruit Chan'],"皇家師姐 動作,犯罪 Carrie 外國人 集團 犯罪 菲林 女警 "
39451,門當父不對3：我才是老大,"['喜劇,愛情']",['Barbra Streisand'],"門當父不對我才是老大 喜劇,愛情 發克 柏恩 之間 衝突 觀念 金獎 "
39486,奔騰人生,['劇情'],['Scott Glenn'],奔騰人生 劇情 潘妮 瑞德 父親 選擇 種馬 賽馬 
39513,我們撞到外星人,"['科幻,冒險,喜劇']",['Bill Hader'],"我們撞到外星人 科幻,冒險,喜劇 外星人 兩個 英國 宅男 美國 朝聖 "
39514,超危險特工,"['犯罪,驚悚,喜劇,動作,冒險']",['Morgan Freeman'],"超危險特工 犯罪,驚悚,喜劇,動作,冒險 法蘭克 CIA 殺手 布魯斯威利 幹員 莎拉 "
39538,全境擴散,"['驚悚,劇情,科幻']",['Jason Babinsky'],"全境擴散 驚悚,劇情,科幻 醫生 病毒 開始 人數 恐慌 香港 "
39544,棄寶之島：遙與魔法鏡,"['冒險,動畫']",['Mitsuki Tanimura'],"棄寶之島遙與魔法鏡 冒險,動畫 曾經 現在 哪裡 母親 手鏡 東西 "
39545,愛情計時器,"['喜劇,科幻,愛情,劇情,奇幻']",['Hayden McFarland'],"愛情計時器 喜劇,科幻,愛情,劇情,奇幻 計時器 愛情 一項 發明 倒數 計時 "
39560,杜拉拉升職記,"['劇情,喜劇']",['Li Ai'],"杜拉拉升職記 劇情,喜劇 王偉 玫瑰 拉拉 任務 杜拉拉 此時 "
39691,貓狗大戰：珍珠貓大反撲,"['喜劇,懸疑,冒險,奇幻,動作,家庭']",['Jeff Bennett'],"貓狗大戰珍珠貓大反撲 喜劇,懸疑,冒險,奇幻,動作,家庭 貓狗 大戰 貓大 反撲 戰火 這回 "
39693,歲月神偷,"['喜劇,劇情,愛情']",['Sandra Ng Kwun-Yu'],"歲月神偷 喜劇,劇情,愛情 面對 大兒子 羅進 之間 一場 這個 "
39767,性愛狂想曲,['喜劇'],['Moeko Ezawa'],性愛狂想曲 喜劇 變成 隱形人 女人 其貌不揚 鄧肯 毫無 
39768,看好你的車,"['喜劇,犯罪,愛情']",['Innokentiy Smoktunovskiy'],"看好你的車 喜劇,犯罪,愛情 俠盜 客戶 一個 橋段 朝九晚五 故事 "
39776,刀馬旦,"['喜劇,動作']",['Brigitte Lin'],"刀馬旦 喜劇,動作 軍閥 一個 為了 林青霞 鍾楚紅 葉倩文 "
39781,性福拉警報,"['劇情,喜劇']",['Mark Ruffalo'],"性福拉警報 劇情,喜劇 最佳 金球獎 喜劇類 特班 主角 本片 "
39800,心靈戰火,"['喜劇,劇情']",['Shirley Henderson'],"心靈戰火 喜劇,劇情 戰火 心靈 人生 頻仍 三個 關卡 "
39828,古惑仔之人在江湖,"['犯罪,動作']",['Jordan Chan'],"古惑仔之人在江湖 犯罪,動作 成為 港片 流行 黎姿 改編 暢銷 "
39833,珍愛一生,"['西部,音樂,愛情,劇情']",['Neville Brand'],"珍愛一生 西部,音樂,愛情,劇情 準備 女友 家人 參與 美國 內戰 "
39854,小蝦米對大鯨魚4直擊證人,"['動作,冒險']",['Sunny Yuen Shun-Yi'],"小蝦米對大鯨魚直擊證人 動作,冒險 六仔 東尼 美國 西雅圖 發現 他們 "
39856,暴行！開膛手傑克,['恐怖'],['Yuri Yamashina'],暴行開膛手傑克 恐怖 阿健 他們 有里 快感 女子 新來 
39857,八仙飯店之人肉叉燒飽,"['劇情,犯罪,喜劇,恐怖']",['Anthony Wong'],"八仙飯店之人肉叉燒飽 劇情,犯罪,喜劇,恐怖 鄭氏 警方 飯店 八仙 澳門 發現 "
39858,美女器官,"['奇幻,恐怖']","['Ken Yoshizawa', 'Seira Kitagawa', 'Kazuhiro Sano']","美女器官 奇幻,恐怖 注射 黑社會 醫生 雨露 天使 心理 "
39875,魔幻爆米花,['恐怖'],['Kelly Jo Minter'],魔幻爆米花 恐怖 欣賞 ... 恐怖片 觀眾 瑪姬 電影系 
39901,雜家小子,"['喜劇,動作,冒險']",['Lam Ching-Ying'],"雜家小子 喜劇,動作,冒險 小寶 賈午 哥倆 鄉人 衙門 二人 "
39939,烏龍巡警,"['懸疑,喜劇,犯罪']",['Lynda Carter'],"烏龍巡警 懸疑,喜劇,犯罪 他們 喜歡 超速 公路 高速 警員 "
39982,黎明之前,"['驚悚,恐怖']",['George Kennedy'],"黎明之前 驚悚,恐怖 俄勒岡州 影片 講述 他們 進入 山脈 "
40025,撕票風雲,"['動作,驚悚']",['Kenny Wong Tak-Bun'],"撕票風雲 動作,驚悚 博文 何湛森 老大 之下 警司 槍法 "
40029,女集中營,"['戰爭,動作,劇情,恐怖']",['Lee Hye-sook'],"女集中營 戰爭,動作,劇情,恐怖 日軍 當中 比特 女孩 伊莉莎白 玉蘭 "
40039,天蛛地滅,"['科幻,恐怖,驚悚']",['Leslie Zemeckis'],"天蛛地滅 科幻,恐怖,驚悚 蜘蛛 計劃 他們 美國 一項 實驗 "
40040,天蛛地滅2,"['恐怖,科幻']",['Velimir Velev'],"天蛛地滅 恐怖,科幻 傑森 亞麗 醫生 因一場 暴風雨 落難 "
40081,殘缺,"['動作,劇情']",['Chen Kuan-Tai'],"殘缺 動作,劇情 王翼 鄉間 惡霸 先後 挖盲 陳順 "
40099,頂樓的大象,"['愛情,劇情']",['Hwang Woo-seul-hye'],"頂樓的大象 愛情,劇情 賢友 民錫 鎮赫 女友 關系 已經 "
40118,超時空之戰,"['科幻,劇情,動作,愛情']",['Park Eun-hye'],"超時空之戰 科幻,劇情,動作,愛情 前生 城真 調查 南紅 博士 特戰 "
40167,美麗的聲音,"['劇情,音樂']",['Jung Su-young'],"美麗的聲音 劇情,音樂 靜慧 女囚 為了 保護 胎兒 錯手 "
40172,色慾迷牆,"['愛情,劇情,驚悚']",['Mutsuo Yoshioka'],"色慾迷牆 愛情,劇情,驚悚 五月 阿涼 通過 發現 聲音 滿足 "
40194,終極快遞,"['動作,喜劇,犯罪']",['Jo Prestia'],"終極快遞 動作,喜劇,犯罪 Sam 街頭 必達 Nadia 女友 使命 "
40213,新龍門客棧,['動作'],['Charlie Yuen Cheung-Yan'],新龍門客棧 動作 淮安 龍門 客棧 金鑲 東廠 賀虎 
40254,女高怪談：死亡教室,['恐怖'],['Kim Min-jung'],女高怪談死亡教室 恐怖 恐怖片 韓國 女高 怪談 歡迎 開啟 
40346,賭聖,"['動作,喜劇']",['Jeffrey Lau'],"賭聖 動作,喜劇 阿星 洪爺 比利 兩人 黑社會 陳松 "
40534,強納斯兄弟演唱會,"['紀錄,音樂']",['Frankie Jonas'],"強納斯兄弟演唱會 紀錄,音樂 強納斯 演唱會 Jonas 兄弟 尼克 美國 "
40576,吉卜力工作室特別短片2,"['動畫,喜劇']",['Kyoka Suzuki'],"吉卜力工作室特別短片 動畫,喜劇 野中 內容 風格 Ghiblies 同樣 君為 "
40641,蘿拉,"['愛情,劇情']",['Dorothée Blanck'],"蘿拉 愛情,劇情 德米 導演 艾美 安諾 法國 迷倒 "
40650,沉默之海,"['劇情,愛情,戰爭']",['Howard Vernon'],"沉默之海 劇情,愛情,戰爭 軍官 梅爾 維爾 納粹 兩人 根據 "
40652,已婚女人,"['愛情,劇情']",['Margareth Clémenti'],"已婚女人 愛情,劇情 兒子 婦女 夏洛特 三個 在一起 劇團 "
40662,蝙蝠俠：決戰紅帽火魔,"['懸疑,科幻,犯罪,動作,動畫']",['Fred Tatasciore'],"蝙蝠俠決戰紅帽火魔 懸疑,科幻,犯罪,動作,動畫 蝙蝠俠 哥譚 紅帽 神秘 火魔 所屬 "
40713,戀空,"['愛情,劇情']",['Haruma Miura'],"戀空 愛情,劇情 美嘉 手機 漸漸 開學 請求 二人 "
40751,東邪西毒,"['劇情,動作']",['Maggie Cheung'],"東邪西毒 劇情,動作 影展 忘記 王家衛 小說 請來 愛恨 "
40805,青蜂俠,"['犯罪,動作,喜劇']",['Lio Tipton'],"青蜂俠 犯罪,動作,喜劇 青蜂俠 加藤 周杰倫 他們 成為 洛城 "
40820,頭條笑料,"['喜劇,劇情']",['Damon Wayans'],"頭條笑料 喜劇,劇情 莉拉 史帝夫 湯姆漢克斯 醫科 曼哈頓 夜總會 "
40829,少林木人巷,['動作'],['Jackie Chan'],少林木人巷 動作 怪人 啞巴 江湖 自小在 個性 純樸 
40830,少林英雄之方世玉洪熙官,['動作'],['Jack Suen Kwok-Ming'],少林英雄之方世玉洪熙官 動作 廣州 世玉 高進 義士 少林 清兵 
40911,艋舺,['驚悚'],['Ma Ju-Lung'],艋舺 驚悚 黑道 艋舺 志龍 Geta 和尚 踏入 
41059,明日之歌,['劇情'],['Ethel Clayton'],明日之歌 劇情 之歌 入列 明日 聚會 Cooper 發現 
41109,寶萊塢奪命煞星Ⅱ,"['動作,驚悚']",['Kunal Kapoor'],"寶萊塢奪命煞星 動作,驚悚 黑社會 歐洲 Don 行動 國際性 自投羅網 "
41154,MIB星際戰警3,"['喜劇,動作,科幻']",['Will Smith'],"星際戰警 喜劇,動作,科幻 探員 危機 未來 15 年來 MIB "
41158,暗花,"['劇情,動作,犯罪,驚悚']",['Ronny Ching Siu-Lung'],"暗花 劇情,動作,犯罪,驚悚 洪興 黑幫 義英 一場 龍頭 崩牙華 "
41201,魔術師,"['動畫,劇情']",['Jean-Claude Donda'],"魔術師 動畫,劇情 魔術師 曾經 迷戀 他們 各種 一個 "
41210,精選完美男,"['愛情,喜劇,劇情']",['Victor Pagan'],"精選完美男 愛情,喜劇,劇情 凱西 羅納 沃利 單身 巴斯 好友 "
41216,貓頭鷹守護神,"['冒險,動畫,家庭,奇幻']",['Sam Neill'],"貓頭鷹守護神 冒險,動畫,家庭,奇幻 索倫 貓頭鷹 守護神 克勞德 樹上 父親 "
41233,舞力全開3D,"['劇情,愛情']",['Gee Alexander'],"舞力全開 劇情,愛情 紐約 街舞 他們 比賽 娜塔莉 舞技 "
41244,英雄本色3,"['驚悚,戰爭,動作']",['Nam Yin'],"英雄本色 驚悚,戰爭,動作 Mark 英杰 越南 周潤發 發跡 梁家輝 "
41283,限時絕殺,"['動作,犯罪,劇情,驚悚']",['Lester Speight'],"限時絕殺 動作,犯罪,劇情,驚悚 復仇 一個 德萊沃 這個 一場 十年 "
41343,食神,['喜劇'],['Lee Kin-Yan'],食神 喜劇 星仔 食神 雞姐 飲食 對手 中國 
41364,整蠱專家,['喜劇'],['Andy Lau'],整蠱專家 喜劇 劉德華 整人 芝琳 實情 專家 周星馳 
41365,劇場版 秀逗魔導士 GORGEOUS,"['奇幻,動畫,冒險,喜劇']",['Mitsuki Saiga'],"劇場版秀逗魔導士 奇幻,動畫,冒險,喜劇 莉娜 蕾妮 可爾多倫 集團 她們 騷動 "
41378,五遁忍術,['動作'],['Lo Meng'],五遁忍術 動作 忍者 袁增 總盟 武林 本片 張徹 
41380,敗家子,"['冒險,動作,喜劇']",['Wu Ma'],"敗家子 冒險,動作,喜劇 梁贊 武藝 獨子 名師 劇團 詠春 "
41387,凌凌漆大戰金鎗客,"['動作,喜劇']",['Anita Yuen'],"凌凌漆大戰金鎗客 動作,喜劇 特務 頭骨 金槍 已經 殺星 富商 "
41402,噬血童話,"['恐怖,劇情,懸疑']",['Seth Adkins'],"噬血童話 恐怖,劇情,懸疑 歐文 一個 艾比 欺負 恐怖片 超能力 "
41411,巴黎圍城風暴,"['戰爭,劇情,歷史']",['Thierry Frémont'],"巴黎圍城風暴 戰爭,劇情,歷史 猶太人 1942 法國 期間 德軍 猶太 "
41416,一頁台北,['喜劇'],['Vera Yen'],一頁台北 喜劇 小凱 豹哥 阿洪 批貨 巴黎 燈火 
41439,奪魂鋸3D,"['恐怖,犯罪']",['Dean Armstrong'],"奪魂鋸 恐怖,犯罪 他們 巴比 眾人 西恩 幸運 脫離 "
41441,無名劍：傾城爭霸,"['劇情,動作,愛情']",['Cho Seung-woo'],"無名劍傾城爭霸 劇情,動作,愛情 明成 無名 成為 維生 皇后 公主 "
41446,驚聲尖叫4,"['懸疑,恐怖']",['Emma Roberts'],"驚聲尖叫 懸疑,恐怖 席妮 人魔 解開 詭計 面具 多采多姿 "
41464,1951年的歐洲,['劇情'],['Alberto Plebani'],年的歐洲 劇情 社會 民間 乾脆 一個 美國 貴婦 
41472,花與蛇,"['劇情,愛情,驚悚']",['Ito Yozaburo'],"花與蛇 劇情,愛情,驚悚 遠山 靜子 性虐待 好景不常 美麗 端莊 "
